Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
  ,  ,  ,  ,  ,03120,ORE,Band-tailed Pigeon                      ,Oregon                                  ,  46,     0.384,      -1.147,    1.838,        3.081
 R, Y, R, R,  ,03120,UT ,Band-tailed Pigeon                      ,Utah                                    ,   7,    -2.552,      -9.536,    2.649,        0.043
  ,  ,  ,  ,  ,03120,WAS,Band-tailed Pigeon                      ,Washington                              ,  43,     0.744,      -1.090,    2.752,        5.879
  ,  ,  ,  , 2,03120,CA1,Band-tailed Pigeon                      ,Canada                                  ,  48,    -3.750,      -5.893,   -2.027,       11.062
  ,  ,  ,  ,  ,03120,US1,Band-tailed Pigeon                      ,United States                           , 303,     0.104,      -1.305,    1.075,        2.170
  ,  ,  ,  , 2,03120,SU1,Band-tailed Pigeon                      ,Survey-wide                             , 351,    -1.620,      -2.801,   -0.618,        3.629
 R,  , R, R, 1,22860,S05,Eurasian Collared-Dove                  ,Northern Pacific Rainforest             ,  79,    51.679,      45.976,   57.040,        0.000
 R,  , Y, R, 1,22860,S09,Eurasian Collared-Dove                  ,Great Basin                             , 134,    47.234,      42.012,   51.286,        0.000
 R,  , R, R, 1,22860,S10,Eurasian Collared-Dove                  ,Northern Rockies                        ,  77,    39.951,      33.055,   45.657,        0.000
 R,  , R, R, 1,22860,S11,Eurasian Collared-Dove                  ,Prairie Potholes                        ,  75,    34.723,      29.218,   40.588,        0.000
 R, Y, R, R, 1,22860,S15,Eurasian Collared-Dove                  ,Sierra Nevada                           ,  11,    41.261,      36.050,   47.097,        0.000
 R,  , R, R, 1,22860,S16,Eurasian Collared-Dove                  ,Southern Rockies/colorado Plateau       ,  97,    34.458,      28.264,   40.643,        0.001
 R,  , R, R, 1,22860,S17,Eurasian Collared-Dove                  ,Badlands and Prairies                   ,  47,    37.799,      31.651,   43.078,        0.001
 R,  , Y, R, 1,22860,S18,Eurasian Collared-Dove                  ,Shortgrass Prairie                      , 112,    39.973,      35.046,   43.446,        0.004
 R,  , R, R, 1,22860,S19,Eurasian Collared-Dove                  ,Central Mixed Grass Prairie             ,  91,    37.645,      31.961,   42.061,        0.004
 R,  , R, R, 1,22860,S20,Eurasian Collared-Dove                  ,Edwards Plateau                         ,  16,    39.349,      33.187,   46.292,        0.003
 R,  , R, R, 1,22860,S21,Eurasian Collared-Dove                  ,Oaks and Prairies                       ,  59,    38.792,      31.102,   44.218,        0.003
 R,  , Y, R, 1,22860,S22,Eurasian Collared-Dove                  ,Eastern Tallgrass Prairie               , 153,    34.535,      30.815,   37.029,        0.002
 R, Y, R, R, 1,22860,S23,Eurasian Collared-Dove                  ,Prairie Hardwood Transition             ,   6,    38.072,      32.423,   50.062,        0.000
 R,  , Y, R, 1,22860,S24,Eurasian Collared-Dove                  ,Central Hardwoods                       ,  66,    27.938,      24.815,   31.104,        0.003
 R,  , R, R, 1,22860,S25,Eurasian Collared-Dove                  ,West Gulf Coastal Plain/ouachitas       ,  65,    31.501,      26.664,   37.143,        0.004
 R,  , R, R, 1,22860,S26,Eurasian Collared-Dove                  ,Mississippi Alluvial Valley             ,  53,    28.088,      21.721,   35.211,        0.019
 R,  , Y, R, 1,22860,S27,Eurasian Collared-Dove                  ,Southeastern Coastal Plain              , 177,    23.319,      18.884,   27.229,        0.017
 R,  , R, R, 1,22860,S28,Eurasian Collared-Dove                  ,Appalachian Mountains                   ,  21,    26.372,      19.146,   34.090,        0.002
 R,  , R, R, 1,22860,S29,Eurasian Collared-Dove                  ,Piedmont                                ,  40,    25.765,      19.669,   31.771,        0.006
 R,  , R, Y, 1,22860,S31,Eurasian Collared-Dove                  ,Peninsular Florida                      ,  53,    24.447,      13.976,   38.243,        0.306
 R,  , R, R, 1,22860,S32,Eurasian Collared-Dove                  ,Coastal California                      ,  68,    58.303,      50.802,   64.476,        0.000
 R,  , R, R, 1,22860,S33,Eurasian Collared-Dove                  ,Sonoran and Mojave Deserts              ,  43,    44.119,      36.663,   51.439,        0.001
 R,  , R, R, 1,22860,S34,Eurasian Collared-Dove                  ,Sierra Madre Occidental                 ,  20,    37.138,      29.530,   45.809,        0.002
 R,  , R, R, 1,22860,S35,Eurasian Collared-Dove                  ,Chihuahuan Desert                       ,  41,    32.341,      24.514,   40.099,        0.006
 R,  , R, R, 1,22860,S36,Eurasian Collared-Dove                  ,Tamaulipan Brushlands                   ,  23,    36.633,      31.555,   44.646,        0.010
 R,  , R, R, 1,22860,S37,Eurasian Collared-Dove                  ,Gulf Coastal Prairie                    ,  34,    26.167,      19.193,   34.110,        0.034
 R,  , R, R, 1,22860,ALA,Eurasian Collared-Dove                  ,Alabama                                 ,  79,    23.947,      17.396,   30.286,        0.018
 R, Y, R, R, 1,22860,AK ,Eurasian Collared-Dove                  ,Alaska                                  ,   6,    39.764,      28.179,   61.945,        0.000
 R,  , R, R, 1,22860,ALB,Eurasian Collared-Dove                  ,Alberta                                 ,  14,    41.916,      33.006,   50.166,        0.000
 R,  , R, R, 1,22860,ARI,Eurasian Collared-Dove                  ,Arizona                                 ,  48,    35.709,      28.972,   42.580,        0.003
 R,  , R, R, 1,22860,ARK,Eurasian Collared-Dove                  ,Arkansas                                ,  39,    29.853,      23.438,   35.991,        0.009
 R,  , R, R, 1,22860,BC ,Eurasian Collared-Dove                  ,British Columbia                        ,  54,    47.906,      35.941,   54.699,        0.000
 R,  , R, R, 1,22860,CAL,Eurasian Collared-Dove                  ,California                              , 124,    48.308,      40.396,   53.622,        0.000
 R,  , R, R, 1,22860,COL,Eurasian Collared-Dove                  ,Colorado                                ,  92,    43.426,      37.434,   48.808,        0.001
 R,  , R, Y, 1,22860,FLA,Eurasian Collared-Dove                  ,Florida                                 ,  85,    23.591,      15.791,   31.414,        0.219
 R,  , R, R, 1,22860,GA ,Eurasian Collared-Dove                  ,Georgia                                 ,  65,    25.303,      19.418,   31.574,        0.008
 R,  , Y, R, 1,22860,IA ,Eurasian Collared-Dove                  ,Iowa                                    ,  28,    33.432,      28.657,   37.014,        0.002
 R,  , R, R, 1,22860,IDA,Eurasian Collared-Dove                  ,Idaho                                   ,  27,    44.762,      34.350,   52.171,        0.000
 R,  , R, R, 1,22860,ILL,Eurasian Collared-Dove                  ,Illinois                                ,  77,    38.016,      33.063,   43.553,        0.001
 R, R, R, R, 1,22860,IND,Eurasian Collared-Dove                  ,Indiana                                 ,   4,    30.429,      21.103,   41.783,        0.001
 R,  , Y, R, 1,22860,KAN,Eurasian Collared-Dove                  ,Kansas                                  ,  56,    35.287,      31.680,   38.796,        0.005
 R,  , Y, R, 1,22860,KY ,Eurasian Collared-Dove                  ,Kentucky                                ,  14,    26.403,      22.898,   30.247,        0.006
 R,  , R, R, 1,22860,LA ,Eurasian Collared-Dove                  ,Louisiana                               ,  65,    26.739,      18.742,   32.679,        0.015
 R, R, R, R, 1,22860,MAN,Eurasian Collared-Dove                  ,Manitoba                                ,   3,    33.450,      19.872,   45.767,        0.000
 R, Y, R, R, 1,22860,MIN,Eurasian Collared-Dove                  ,Minnesota                               ,   8,    29.775,      20.052,   46.808,        0.000
 R,  , R, R, 1,22860,MIS,Eurasian Collared-Dove                  ,Mississippi                             ,  31,    22.725,      17.325,   33.506,        0.011
 R,  , R, R, 1,22860,MO ,Eurasian Collared-Dove                  ,Missouri                                ,  49,    36.535,      30.376,   44.428,        0.001
 R,  , R, R, 1,22860,MON,Eurasian Collared-Dove                  ,Montana                                 ,  45,    40.565,      32.382,   48.645,        0.000
 R, Y, R, R, 1,22860,NC ,Eurasian Collared-Dove                  ,North Carolina                          ,  12,    28.760,      21.300,   35.559,        0.001
 R,  , R, R, 1,22860,ND ,Eurasian Collared-Dove                  ,North Dakota                            ,  17,    36.936,      31.378,   42.105,        0.000
 R,  , R, R, 1,22860,NEB,Eurasian Collared-Dove                  ,Nebraska                                ,  37,    40.829,      36.433,   48.222,        0.003
 R,  , R, R, 1,22860,NEV,Eurasian Collared-Dove                  ,Nevada                                  ,  19,    45.624,      37.649,   54.076,        0.000
 R,  , R, R, 1,22860,NM ,Eurasian Collared-Dove                  ,New Mexico                              ,  54,    38.222,      32.110,   43.672,        0.002
 R, R, R, R, 1,22860,OHI,Eurasian Collared-Dove                  ,Ohio                                    ,   3,    32.469,      11.494,   50.003,        0.000
 R,  , Y, R, 1,22860,OKL,Eurasian Collared-Dove                  ,Oklahoma                                ,  47,    39.732,      34.433,   43.106,        0.002
 R,  , R, R, 1,22860,ORE,Eurasian Collared-Dove                  ,Oregon                                  ,  53,    49.358,      43.107,   54.535,        0.000
 R, Y, R, R, 1,22860,SAS,Eurasian Collared-Dove                  ,Saskatchewan                            ,   7,    39.992,      27.158,   51.074,        0.000
 R,  , R, R, 1,22860,SC ,Eurasian Collared-Dove                  ,South Carolina                          ,  17,    26.438,      21.806,   35.676,        0.008
 R,  , Y, R, 1,22860,SD ,Eurasian Collared-Dove                  ,South Dakota                            ,  32,    46.914,      42.533,   52.323,        0.000
 R,  , R, R, 1,22860,TEN,Eurasian Collared-Dove                  ,Tennessee                               ,  25,    25.656,      20.286,   32.024,        0.003
 R,  , Y, R, 1,22860,TEX,Eurasian Collared-Dove                  ,Texas                                   , 196,    31.969,      28.139,   35.863,        0.009
 R,  , R, R, 1,22860,UT ,Eurasian Collared-Dove                  ,Utah                                    ,  42,    40.880,      33.275,   48.033,        0.001
 R,  , R, R, 1,22860,WAS,Eurasian Collared-Dove                  ,Washington                              ,  53,    49.901,      38.610,   56.869,        0.000
 R, Y, R, R, 1,22860,WIS,Eurasian Collared-Dove                  ,Wisconsin                               ,   6,    38.072,      32.423,   50.062,        0.000
 R,  , R, R, 1,22860,WYO,Eurasian Collared-Dove                  ,Wyoming                                 ,  34,    38.914,      33.279,   44.868,        0.001
 R,  , R, R, 1,22860,CA1,Eurasian Collared-Dove                  ,Canada                                  ,  78,    41.994,      34.089,   47.968,        0.000
 R,  , Y, R, 1,22860,US1,Eurasian Collared-Dove                  ,United States                           ,1583,    29.450,      24.966,   32.327,        0.009
 R,  , Y, R, 1,22860,SU1,Eurasian Collared-Dove                  ,Survey-wide                             ,1661,    29.557,      25.073,   32.436,        0.007
 R, Y, R, R, 1,03210,S18,Inca Dove                               ,Shortgrass Prairie                      ,   5,     6.620,       1.050,   13.887,        0.019
 Y, Y, Y, Y,  ,03210,S19,Inca Dove                               ,Central Mixed Grass Prairie             ,   9,     0.401,      -4.419,    5.293,        0.157
  ,  ,  ,  ,  ,03210,S20,Inca Dove                               ,Edwards Plateau                         ,  19,     0.306,      -1.442,    2.020,        3.505
  ,  ,  ,  , 1,03210,S21,Inca Dove                               ,Oaks and Prairies                       ,  53,     4.353,       1.739,    7.379,        1.178
 Y,  ,  , Y, 1,03210,S25,Inca Dove                               ,West Gulf Coastal Plain/ouachitas       ,  39,     7.442,       5.287,   10.221,        0.237
 R, Y, R, R, 1,03210,S26,Inca Dove                               ,Mississippi Alluvial Valley             ,  12,    10.689,       5.930,   17.980,        0.034
 R, R, R, R, 1,03210,S27,Inca Dove                               ,Southeastern Coastal Plain              ,   3,     7.899,       0.520,   17.324,        0.033
 Y,  ,  , Y, 2,03210,S33,Inca Dove                               ,Sonoran and Mojave Deserts              ,  14,    -3.468,      -6.263,   -0.777,        0.451
 Y, Y, Y, Y,  ,03210,S34,Inca Dove                               ,Sierra Madre Occidental                 ,   9,    -0.404,      -4.362,    3.621,        0.412
 R, Y, Y, R,  ,03210,S35,Inca Dove                               ,Chihuahuan Desert                       ,  12,     3.634,      -0.920,    7.781,        0.057
  ,  ,  ,  ,  ,03210,S36,Inca Dove                               ,Tamaulipan Brushlands                   ,  26,     1.044,      -1.243,    3.124,        4.224
 Y,  ,  , Y, 1,03210,S37,Inca Dove                               ,Gulf Coastal Prairie                    ,  32,     6.128,       4.268,    7.692,        0.863
 Y,  ,  , Y,  ,03210,ARI,Inca Dove                               ,Arizona                                 ,  23,    -2.331,      -4.877,    0.112,        0.449
 R,  ,  , R, 1,03210,LA ,Inca Dove                               ,Louisiana                               ,  45,     8.310,       5.840,   11.046,        0.100
 R, R, R, R,  ,03210,NM ,Inca Dove                               ,New Mexico                              ,   4,     5.567,      -2.119,   12.880,        0.058
  ,  ,  ,  , 1,03210,TEX,Inca Dove                               ,Texas                                   , 161,     1.964,       0.815,    3.029,        1.157
 Y,  ,  , Y, 1,03210,US1,Inca Dove                               ,United States                           , 233,     1.545,       0.515,    2.593,        0.828
 Y,  ,  , Y, 1,03210,SU1,Inca Dove                               ,Survey-wide                             , 233,     1.545,       0.515,    2.593,        0.828
 R, R, R, R, 1,03200,S19,Common Ground-Dove                      ,Central Mixed Grass Prairie             ,   3,     6.703,       0.857,   13.447,        0.013
 Y,  , Y, Y, 1,03200,S20,Common Ground-Dove                      ,Edwards Plateau                         ,  15,     9.785,       6.166,   14.067,        0.220
 Y,  ,  , Y,  ,03200,S21,Common Ground-Dove                      ,Oaks and Prairies                       ,  19,    -0.339,      -2.682,    2.015,        0.747
  ,  ,  ,  ,  ,03200,S27,Common Ground-Dove                      ,Southeastern Coastal Plain              , 155,    -0.160,      -0.835,    0.537,        1.814
 R, Y, Y, R,  ,03200,S29,Common Ground-Dove                      ,Piedmont                                ,  12,     0.797,      -4.334,    5.422,        0.037
  ,  ,  ,  , 2,03200,S31,Common Ground-Dove                      ,Peninsular Florida                      ,  62,    -3.300,      -4.232,   -2.358,        7.403
 R, R, R, R,  ,03200,S32,Common Ground-Dove                      ,Coastal California                      ,   3,     4.265,      -2.147,   10.657,        0.002
 Y,  ,  , Y,  ,03200,S33,Common Ground-Dove                      ,Sonoran and Mojave Deserts              ,  22,    -0.658,      -3.704,    1.797,        0.372
 Y, Y,  , Y,  ,03200,S34,Common Ground-Dove                      ,Sierra Madre Occidental                 ,   9,     0.118,      -2.618,    3.115,        0.233
 R, Y, Y, R, 1,03200,S35,Common Ground-Dove                      ,Chihuahuan Desert                       ,   7,     4.485,       0.686,    9.998,        0.097
  ,  ,  ,  ,  ,03200,S36,Common Ground-Dove                      ,Tamaulipan Brushlands                   ,  26,     0.214,      -1.066,    1.525,       14.292
 Y,  ,  , Y,  ,03200,S37,Common Ground-Dove                      ,Gulf Coastal Prairie                    ,  17,     0.928,      -1.485,    3.897,        0.480
 Y,  ,  , Y, 1,03200,ALA,Common Ground-Dove                      ,Alabama                                 ,  44,     1.656,       0.118,    3.065,        0.686
 Y,  ,  , Y,  ,03200,ARI,Common Ground-Dove                      ,Arizona                                 ,  22,    -1.545,      -4.637,    0.824,        0.323
 Y, Y, Y, Y,  ,03200,CAL,Common Ground-Dove                      ,California                              ,  12,     1.281,      -2.283,    4.814,        0.129
  ,  ,  ,  , 2,03200,FLA,Common Ground-Dove                      ,Florida                                 ,  99,    -2.659,      -3.447,   -1.893,        6.707
  ,  ,  ,  ,  ,03200,GA ,Common Ground-Dove                      ,Georgia                                 ,  67,    -0.042,      -1.045,    1.074,        2.520
 R, R, R, R,  ,03200,LA ,Common Ground-Dove                      ,Louisiana                               ,   4,     2.015,      -7.378,   11.680,        0.014
 R, Y, R, R, 1,03200,MIS,Common Ground-Dove                      ,Mississippi                             ,   6,     6.255,       0.428,   17.395,        0.013
 Y, Y, Y, Y,  ,03200,SC ,Common Ground-Dove                      ,South Carolina                          ,  13,     2.134,      -2.144,    7.704,        0.127
  ,  ,  ,  ,  ,03200,TEX,Common Ground-Dove                      ,Texas                                   ,  83,     0.463,      -0.598,    1.613,        2.305
  ,  ,  ,  , 2,03200,US1,Common Ground-Dove                      ,United States                           , 350,    -0.756,      -1.342,   -0.125,        1.744
  ,  ,  ,  , 2,03200,SU1,Common Ground-Dove                      ,Survey-wide                             , 350,    -0.756,      -1.342,   -0.125,        1.744
 R,  , R, R,  ,03190,S16,White-winged Dove                       ,Southern Rockies/colorado Plateau       ,  17,     6.497,      -0.665,   19.198,        0.016
 R,  , Y, R, 1,03190,S18,White-winged Dove                       ,Shortgrass Prairie                      ,  27,    17.100,      12.044,   21.054,        0.026
 R,  , R, R, 1,03190,S19,White-winged Dove                       ,Central Mixed Grass Prairie             ,  21,    20.550,      10.437,   27.977,        0.010
 Y,  , Y, Y, 1,03190,S20,White-winged Dove                       ,Edwards Plateau                         ,  17,    20.080,      16.593,   23.989,        0.434
 Y,  ,  , Y, 1,03190,S21,White-winged Dove                       ,Oaks and Prairies                       ,  44,    13.189,      10.382,   16.375,        0.181
 R, Y, R, R, 1,03190,S25,White-winged Dove                       ,West Gulf Coastal Plain/ouachitas       ,   9,    16.597,      10.089,   25.527,        0.003
 R, Y, R, R, 1,03190,S26,White-winged Dove                       ,Mississippi Alluvial Valley             ,   9,    27.230,      20.268,   36.049,        0.003
 R,  , R, R, 1,03190,S27,White-winged Dove                       ,Southeastern Coastal Plain              ,  14,    20.525,      11.752,   31.321,        0.003
 R,  , R, Y, 1,03190,S31,White-winged Dove                       ,Peninsular Florida                      ,  30,    11.878,       7.025,   17.213,        0.852
  ,  ,  ,  ,  ,03190,S33,White-winged Dove                       ,Sonoran and Mojave Deserts              ,  47,     0.446,      -0.893,    1.690,      118.271
  ,  ,  ,  ,  ,03190,S34,White-winged Dove                       ,Sierra Madre Occidental                 ,  22,     0.245,      -1.325,    1.940,       24.511
  ,  ,  ,  , 1,03190,S35,White-winged Dove                       ,Chihuahuan Desert                       ,  48,     8.286,       6.040,   10.655,        4.401
  ,  ,  ,  , 1,03190,S36,White-winged Dove                       ,Tamaulipan Brushlands                   ,  26,     3.289,       1.404,    5.214,       29.258
 Y,  , Y, Y, 1,03190,S37,White-winged Dove                       ,Gulf Coastal Prairie                    ,  25,    10.616,       6.872,   14.446,        0.781
 R, Y, R, R, 1,03190,ALA,White-winged Dove                       ,Alabama                                 ,   5,    23.595,      12.147,   34.926,        0.001
  ,  ,  ,  ,  ,03190,ARI,White-winged Dove                       ,Arizona                                 ,  56,     0.038,      -1.125,    1.185,       89.077
  ,  ,  ,  , 1,03190,CAL,White-winged Dove                       ,California                              ,  14,     5.521,       2.515,    8.157,       13.893
 R, R, R, R, 1,03190,COL,White-winged Dove                       ,Colorado                                ,   4,    12.918,       0.816,   33.563,        0.001
 Y,  , Y, Y, 1,03190,FLA,White-winged Dove                       ,Florida                                 ,  39,    12.039,       7.176,   17.130,        0.554
 R, R, R, R, 1,03190,KAN,White-winged Dove                       ,Kansas                                  ,   4,    14.552,       0.889,   29.634,        0.002
 R,  , R, R, 1,03190,LA ,White-winged Dove                       ,Louisiana                               ,  19,    23.398,      17.056,   29.872,        0.007
 Y,  ,  , Y, 1,03190,NM ,White-winged Dove                       ,New Mexico                              ,  40,     8.455,       5.048,   10.631,        0.579
 R, Y, R, R, 1,03190,OKL,White-winged Dove                       ,Oklahoma                                ,   8,    20.936,       9.220,   31.829,        0.002
  ,  ,  ,  , 1,03190,TEX,White-winged Dove                       ,Texas                                   , 167,     5.465,       3.953,    7.003,        4.224
  ,  ,  ,  , 1,03190,US1,White-winged Dove                       ,United States                           , 356,     1.179,       0.037,    2.173,       15.539
  ,  ,  ,  , 1,03190,SU1,White-winged Dove                       ,Survey-wide                             , 356,     1.179,       0.037,    2.173,       15.539
  ,  ,  ,  , 2,03160,S05,Mourning Dove                           ,Northern Pacific Rainforest             ,  89,    -0.788,      -1.486,   -0.101,        1.326
  ,  ,  ,  , 2,03160,S06,Mourning Dove                           ,Boreal Taiga Plains                     ,  80,    -1.690,      -2.691,   -0.676,        2.586
 Y,  ,  , Y, 1,03160,S08,Mourning Dove                           ,Boreal Softwood Shield                  ,  45,     3.047,       0.856,    5.308,        0.206
  ,  ,  ,  , 2,03160,S09,Mourning Dove                           ,Great Basin                             , 255,    -1.960,      -2.411,   -1.539,       14.418
  ,  ,  ,  , 2,03160,S10,Mourning Dove                           ,Northern Rockies                        , 207,    -1.650,      -2.288,   -1.060,        3.150
  ,  ,  ,  ,  ,03160,S11,Mourning Dove                           ,Prairie Potholes                        , 324,    -0.115,      -0.408,    0.177,       38.939
  ,  ,  ,  , 1,03160,S12,Mourning Dove                           ,Boreal Hardwood Transition              , 215,     1.848,       1.168,    2.460,        3.212
  ,  ,  ,  , 1,03160,S13,Mourning Dove                           ,Lower Great Lakes/ St. Lawrence Plain   , 185,     1.362,       1.003,    1.723,       29.275
  ,  ,  ,  , 1,03160,S14,Mourning Dove                           ,Atlantic Northern Forest                , 259,     4.018,       3.250,    4.707,        4.999
  ,  ,  ,  ,  ,03160,S15,Mourning Dove                           ,Sierra Nevada                           ,  38,    -0.282,      -1.629,    1.054,        5.087
  ,  ,  ,  , 2,03160,S16,Mourning Dove                           ,Southern Rockies/colorado Plateau       , 225,    -1.416,      -1.967,   -0.846,       12.470
  ,  ,  ,  ,  ,03160,S17,Mourning Dove                           ,Badlands and Prairies                   , 121,    -0.217,      -0.619,    0.203,       48.833
  ,  ,  ,  ,  ,03160,S18,Mourning Dove                           ,Shortgrass Prairie                      , 126,    -0.094,      -0.495,    0.306,       72.774
  ,  ,  ,  , 2,03160,S19,Mourning Dove                           ,Central Mixed Grass Prairie             , 112,    -0.702,      -1.017,   -0.379,      107.029
  ,  ,  ,  , 2,03160,S20,Mourning Dove                           ,Edwards Plateau                         ,  19,    -1.271,      -2.184,   -0.332,       72.815
  ,  ,  ,  , 2,03160,S21,Mourning Dove                           ,Oaks and Prairies                       ,  73,    -1.159,      -1.630,   -0.696,       61.560
  ,  ,  ,  , 2,03160,S22,Mourning Dove                           ,Eastern Tallgrass Prairie               , 263,    -0.308,      -0.542,   -0.061,       53.222
  ,  ,  ,  ,  ,03160,S23,Mourning Dove                           ,Prairie Hardwood Transition             , 149,    -0.170,      -0.506,    0.157,       41.143
  ,  ,  ,  ,  ,03160,S24,Mourning Dove                           ,Central Hardwoods                       , 151,    -0.240,      -0.494,    0.015,       42.975
  ,  ,  ,  ,  ,03160,S25,Mourning Dove                           ,West Gulf Coastal Plain/ouachitas       ,  99,     0.358,      -0.126,    0.844,       21.222
  ,  ,  ,  , 1,03160,S26,Mourning Dove                           ,Mississippi Alluvial Valley             ,  61,     0.616,       0.031,    1.209,       58.355
  ,  ,  ,  , 2,03160,S27,Mourning Dove                           ,Southeastern Coastal Plain              , 306,    -0.311,      -0.520,   -0.128,       43.509
  ,  ,  ,  , 1,03160,S28,Mourning Dove                           ,Appalachian Mountains                   , 346,     1.419,       1.191,    1.630,       23.462
  ,  ,  ,  , 2,03160,S29,Mourning Dove                           ,Piedmont                                , 161,    -0.395,      -0.662,   -0.145,       45.103
  ,  ,  ,  ,  ,03160,S30,Mourning Dove                           ,New England/mid-atlantic Coast          , 147,     0.064,      -0.225,    0.347,       33.841
  ,  ,  ,  , 1,03160,S31,Mourning Dove                           ,Peninsular Florida                      ,  62,     1.195,       0.475,    1.932,       41.122
  ,  ,  ,  , 2,03160,S32,Mourning Dove                           ,Coastal California                      , 117,    -1.314,      -1.826,   -0.809,       35.294
  ,  ,  ,  , 2,03160,S33,Mourning Dove                           ,Sonoran and Mojave Deserts              ,  85,    -1.352,      -2.117,   -0.574,       43.488
  ,  ,  ,  , 2,03160,S34,Mourning Dove                           ,Sierra Madre Occidental                 ,  34,    -1.177,      -2.375,   -0.141,       29.908
  ,  ,  ,  ,  ,03160,S35,Mourning Dove                           ,Chihuahuan Desert                       ,  54,    -0.774,      -1.695,    0.099,       36.390
  ,  ,  ,  , 2,03160,S36,Mourning Dove                           ,Tamaulipan Brushlands                   ,  26,    -0.882,      -1.705,   -0.048,      101.001
  ,  ,  ,  , 1,03160,S37,Mourning Dove                           ,Gulf Coastal Prairie                    ,  42,     1.331,       0.523,    2.211,       46.585
  ,  ,  ,  , 2,03160,ALA,Mourning Dove                           ,Alabama                                 , 102,    -0.929,      -1.266,   -0.588,       42.885
 Y,  ,  , Y,  ,03160,ALB,Mourning Dove                           ,Alberta                                 , 133,     0.992,      -0.443,    2.198,        0.801
  ,  ,  ,  , 2,03160,ARI,Mourning Dove                           ,Arizona                                 ,  88,    -1.386,      -2.072,   -0.700,       41.353
  ,  ,  ,  ,  ,03160,ARK,Mourning Dove                           ,Arkansas                                ,  56,     0.118,      -0.485,    0.689,       28.841
 Y,  ,  , Y, 2,03160,BC ,Mourning Dove                           ,British Columbia                        ,  56,    -1.901,      -2.884,   -0.987,        0.476
  ,  ,  ,  , 2,03160,CAL,Mourning Dove                           ,California                              , 252,    -1.046,      -1.476,   -0.624,       23.516
  ,  ,  ,  , 2,03160,COL,Mourning Dove                           ,Colorado                                , 145,    -0.624,      -1.098,   -0.129,       43.170
  ,  ,  ,  ,  ,03160,CON,Mourning Dove                           ,Connecticut                             ,  17,     0.571,      -0.140,    1.331,       32.733
  ,  ,  ,  , 1,03160,DEL,Mourning Dove                           ,Delaware                                ,  17,     1.067,       0.339,    1.892,       27.087
  ,  ,  ,  , 1,03160,FLA,Mourning Dove                           ,Florida                                 , 100,     1.670,       1.083,    2.249,       35.332
  ,  ,  ,  , 2,03160,GA ,Mourning Dove                           ,Georgia                                 , 105,    -0.575,      -0.928,   -0.228,       45.776
  ,  ,  ,  , 1,03160,IA ,Mourning Dove                           ,Iowa                                    ,  38,     0.569,       0.069,    1.036,       40.760
  ,  ,  ,  , 2,03160,IDA,Mourning Dove                           ,Idaho                                   ,  50,    -1.809,      -2.653,   -0.990,       14.519
  ,  ,  ,  , 1,03160,ILL,Mourning Dove                           ,Illinois                                , 102,     0.476,       0.033,    0.903,       43.843
  ,  ,  ,  , 2,03160,IND,Mourning Dove                           ,Indiana                                 ,  64,    -0.411,      -0.811,   -0.002,       63.557
  ,  ,  ,  ,  ,03160,KAN,Mourning Dove                           ,Kansas                                  ,  65,    -0.301,      -0.745,    0.136,      108.781
  ,  ,  ,  , 1,03160,KY ,Mourning Dove                           ,Kentucky                                ,  56,     0.609,       0.213,    1.016,       43.611
  ,  ,  ,  , 1,03160,LA ,Mourning Dove                           ,Louisiana                               ,  94,     2.161,       1.658,    2.668,       18.954
  ,  ,  ,  , 2,03160,MAN,Mourning Dove                           ,Manitoba                                ,  65,    -1.016,      -1.696,   -0.296,       21.441
  ,  ,  ,  , 1,03160,MAS,Mourning Dove                           ,Massachusetts                           ,  29,     0.830,       0.130,    1.539,       28.695
  ,  ,  ,  ,  ,03160,MD ,Mourning Dove                           ,Maryland                                ,  72,    -0.156,      -0.421,    0.114,       41.679
  ,  ,  ,  , 1,03160,ME ,Mourning Dove                           ,Maine                                   ,  64,     3.326,       1.862,    4.952,        8.303
  ,  ,  ,  , 1,03160,MIC,Mourning Dove                           ,Michigan                                ,  90,     0.522,       0.077,    0.958,       24.775
  ,  ,  ,  , 2,03160,MIN,Mourning Dove                           ,Minnesota                               ,  78,    -1.075,      -1.491,   -0.640,       31.948
  ,  ,  ,  ,  ,03160,MIS,Mourning Dove                           ,Mississippi                             ,  54,    -0.011,      -0.546,    0.543,       38.422
  ,  ,  ,  , 2,03160,MO ,Mourning Dove                           ,Missouri                                ,  93,    -0.730,      -1.175,   -0.329,       46.421
  ,  ,  ,  , 2,03160,MON,Mourning Dove                           ,Montana                                 ,  88,    -0.819,      -1.333,   -0.258,       23.496
  ,  ,  ,  , 1,03160,NB ,Mourning Dove                           ,New Brunswick                           ,  38,     7.750,       5.713,   10.019,        2.086
  ,  ,  ,  ,  ,03160,NC ,Mourning Dove                           ,North Carolina                          ,  95,     0.221,      -0.114,    0.558,       53.334
  ,  ,  ,  ,  ,03160,ND ,Mourning Dove                           ,North Dakota                            ,  50,    -0.105,      -0.646,    0.425,       85.981
  ,  ,  ,  ,  ,03160,NEB,Mourning Dove                           ,Nebraska                                ,  51,    -0.229,      -0.667,    0.212,       97.173
  ,  ,  ,  , 2,03160,NEV,Mourning Dove                           ,Nevada                                  ,  45,    -2.306,      -3.264,   -1.389,       12.392
