"genus","species","english_common_name","aou","binomial","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Scientific","migclass","Foraging","Coarse.trophic","Trophic.guild"
"Columbina","inca","Inca Dove",3210,"Columbina inca",3447,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Inca Dove",0,0,0,0,0,0,20,0,80,0,"PlantSeed","Ref_4","B","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,47.5,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Columbina","passerina","Common Ground-Dove",3200,"Columbina passerina",3449,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Common Ground-dove",10,0,0,0,0,0,40,0,50,0,"Omnivore","Ref_4","B","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,35.36,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Columbina","talpacoti","Ruddy Ground-Dove",3201,"Columbina talpacoti",3451,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Ruddy Ground-dove",10,0,0,0,0,0,0,0,90,0,"PlantSeed","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,46.04,"Dunning08",1,"","",NA,NA,NA,NA,"Granivore: ground to undergrowth gleaner"
"Leptotila","verreauxi","White-tipped Dove",3180,"Leptotila verreauxi",3464,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","White-tipped Dove",20,0,0,0,0,0,20,0,60,0,"PlantSeed","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,146.88,"Dunning08",1,"","",NA,NA,NA,NA,"Granivore: ground to undergrowth gleaner"
"Zenaida","asiatica","White-winged Dove",3190,"Zenaida asiatica",3443,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","White-winged Dove",0,0,0,0,0,0,30,0,60,10,"PlantSeed","Ref_4","A","Carolina",0,0,60,30,10,0,0,0,"Ref_4",1,"Jessica",0,153,"Dunning08",1,"","",NA,"short","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Zenaida","macroura","Mourning Dove",3160,"Zenaida macroura",3439,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Mourning Dove",0,0,0,0,0,0,0,0,90,10,"PlantSeed","Ref_4","A","Carolina",0,0,60,40,0,0,0,0,"Ref_4",1,"Jessica",0,118.93,"Dunning08",1,"","",NA,"short","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Coccyzus","americanus","Yellow-billed Cuckoo",3870,"Coccyzus americanus",1858,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Yellow-billed Cuckoo",60,10,20,0,0,0,10,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,0,0,40,60,0,0,"Ref_4",1,"Jessica",0,64,"Dunning08",1,"","",NA,"neotrop","foliage glean","insectivore","Insectivore: upper canopy foliage gleaner"
"Coccyzus","minor","Mangrove Cuckoo",3860,"Coccyzus minor",1860,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Mangrove Cuckoo",70,0,20,0,0,0,10,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,50,30,20,0,0,0,"Ref_4",1,"Jessica",0,63.89,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: upper canopy foliage gleaner"
"Coccyzus","erythropthalmus","Black-billed Cuckoo",3880,"Coccyzus erythropthalmus",1857,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Black-billed Cuckoo",60,10,10,10,0,0,10,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,30,30,30,10,0,0,"Ref_4",1,"Other",0,50.9,"Dunning08",1,"","",NA,"neotrop","foliage glean","insectivore","Insectivore: upper canopy foliage gleaner"
"Geococcyx","californianus","Greater Roadrunner",3850,"Geococcyx californianus",1889,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Greater Roadrunner",30,30,20,0,0,10,10,0,0,0,"VertFishScav","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,376,"Dunning08",1,"","",NA,"resid","ground glean","insectivore","Carnivore: ground-hawker"
