"tree","hab_k","clim_k","diet_k","hab_lambda","clim_lambda","diet_lambda"
"tree_9091",0.151275150036034,0.129674867039513,0.150221021375278,6.65164962502823e-05,0.493378807337837,0.538208685365071
"tree_3000",0.192417669762301,0.163808976776278,0.169956407603486,6.67645556657495e-05,0.46335540240243,0.527124116381384
"tree_8815",0.22518375834033,0.178334723034987,0.206196770624248,6.70860411747808e-05,0.472888127523173,0.554512688370203
"tree_2767",0.278802379929756,0.214024207997023,0.226517143649442,6.73892823720011e-05,0.445165942973025,0.524359231048053
"tree_7616",0.270748261994408,0.231511171745754,0.23396618939895,6.74536424464949e-05,0.436333926931052,0.52450973865552
"tree_8626",0.228324539167575,0.208603074547263,0.249142847141516,6.68653604287445e-05,0.439032918881219,0.545157804168358
"tree_0085",0.190492436837582,0.144934559540437,0.160670794873881,6.68554471744969e-05,0.521336575048112,0.539355106002974
"tree_5970",0.209746877164718,0.176803407080559,0.211972707506316,6.66365023915121e-05,0.478956503241381,0.532934436492308
"tree_3822",0.217472727353272,0.204149098846704,0.219123534252969,6.66573730785428e-05,0.439758764584534,0.538394410256465
"tree_5901",0.249973905439617,0.190297235954738,0.195169736287008,6.69731181917354e-05,0.465523655224324,0.51406133745248
"tree_2933",0.208674071293527,0.183472272074749,0.202022998322163,6.67830364178971e-05,0.478134052850729,0.549434012538439
"tree_8328",0.274128329347391,0.199562619429243,0.236966384433327,6.74276591395375e-05,0.426044269083347,0.536222681584027
"tree_6066",0.199013896058366,0.149126570568236,0.181298801995872,6.67310932322933e-05,0.448782855122089,0.528578815596776
"tree_9904",0.211119710629579,0.17959670515765,0.15941161460558,6.67766630985931e-05,0.4940522403045,0.513138572111758
"tree_9682",0.240911772657674,0.200094128269668,0.223482125473775,6.75648361867395e-05,0.480636424098006,0.539478612791728
"tree_8971",0.258478895949557,0.204674847398897,0.239545082350136,6.70094614760021e-05,0.425429395054444,0.524438833453875
"tree_9113",0.23642467172932,0.206452599795984,0.216079995694207,6.69299879685554e-05,0.455803241250298,0.523038790358573
"tree_7081",0.303869514897817,0.200929598769729,0.248980912586158,6.7351816847879e-05,0.436979211212655,0.532985668986224
"tree_0335",0.189316164699932,0.155898433897016,0.185080537429378,6.65981056664773e-05,0.461856648774046,0.543886717432707
"tree_5248",0.230671248799628,0.210486722478275,0.235001282434301,6.67054303884885e-05,0.436817044244976,0.530720545050755
"tree_1040",0.207475975566045,0.20186211706493,0.212191372985127,6.71697576276408e-05,0.489914709245305,0.528624588311637
"tree_7316",0.274903024547149,0.222477518912305,0.240828690770322,6.73372406374643e-05,0.426354587646573,0.533213372362881
"tree_3271",0.199409344691116,0.177970758991871,0.193183818718771,6.69584225231435e-05,0.458457823178244,0.526475018267743
"tree_2167",0.236110161651806,0.210873527191687,0.206063807416616,6.69955652926743e-05,0.449597064509723,0.540844620614497
"tree_8524",0.210618973751747,0.172810822764492,0.158920772465176,6.68075907281899e-05,0.494763299156942,0.485421512233388
"tree_1820",0.242746458113051,0.203698148563665,0.222911132161681,6.70568947227941e-05,0.463069835866973,0.533205115980524
"tree_2398",0.299425786349943,0.258927835427794,0.25307886737187,6.7410287279609e-05,0.433855071626537,0.523507823021381
