"aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
7290,NA,NA,NA,NA,NA,NA,NA,NA,38,-76,30,-96,22,1044554870741.48,56334054744.346,1925187079905.32,"Sitta_pusilla_22711173.shp","Sitta_pusilla","Sitta pusilla","Brown-headed Nuthatch","Sittidae","Sitta","pusilla","Sitta pusilla",NA,NA,"Sitta_pusilla","bnhnut",0.992630459412332,56,NA,NA
4060,50,-77,27,-104,152,9667695283760.37,9863975367159.45,53801402232142.3,49,-76,29,-104,117,9124513440038.29,9191286447302.64,47426590822488.1,"Melanerpes_erythrocephalus_22680810.shp","Melanerpes_erythrocephalus","Melanerpes erythrocephalus","Red-headed Woodpecker","Picidae","Melanerpes","erythrocephalus","Melanerpes erythrocephalus",NA,NA,"Melanerpes_erythrocephalus",NA,0.996599058284916,330,-0.0561852466155514,-0.106060606060606
5290,53,-62,32,-124,246,17685832270908.3,18701255605018.6,106107540849512,54,-62,32,-124,253,18518821457509.6,19221512677556.5,106002392127647,"Carduelis_tristis_22720407.shp","Carduelis_tristis","Carduelis tristis","American Goldfinch","Fringillidae","Spinus","tristis","Spinus tristis","Carduelis","Carduelis tristis","Carduelis_tristis","amegfi",0.897678464601425,1084,0.0470992359218253,0.00645756457564576
6280,48,-71,28,-99,97,2122350972853.82,12472469138.2034,3179802581498.01,NA,NA,NA,NA,NA,NA,NA,NA,"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons","Yellow-throated Vireo","Vireonidae","Vireo","flavifrons","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,0.672071095059592,262,NA,NA
6170,49,-71,27,-124,152,12397691590265.5,13031136823472.8,49227967300819,50,-73,31,-124,126,11140506658587.9,11454358765011.9,47012003016610.7,"Stelgidopteryx_serripennis_22735128.shp","Stelgidopteryx_serripennis","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirundinidae","Stelgidopteryx","serripennis","Stelgidopteryx serripennis",NA,NA,"Stelgidopteryx_serripennis","nrwswa",0.770062176118241,351,-0.101404759307348,-0.0740740740740741
6840,42,-77,29,-96,50,890299707478.66,0.000133216381072998,2007300036957.58,43,-75,30,-95,60,1051612147143.73,0.00101298093795776,2007300036957.58,"Wilsonia_citrina_22721876.shp","Wilsonia_citrina","Wilsonia citrina","Hooded Warbler","Parulidae","Setophaga","citrina","Setophaga citrina","Wilsonia","Wilsonia citrina","Wilsonia_citrina","hoowar",0.696005421555393,308,0.18118891684454,0.0324675324675325
4280,NA,NA,NA,NA,NA,NA,NA,NA,47,-65,31,-98,96,2021223749740.26,0.00569462776184082,4755264748988.77,"Archilochus_colubris_22688193.shp","Archilochus_colubris","Archilochus colubris","Ruby-throated Hummingbird","Trochilidae","Archilochus","colubris","Archilochus colubris",NA,NA,"Archilochus_colubris",NA,0.73206635644926,630,NA,NA
6630,40,-75,28,-96,43,3066871292765.29,3216041387492.04,18917099368221.9,40,-77,30,-95,38,2166598041048.77,2321292924717.54,10332056790993.5,"Dendroica_dominica_22724793.shp","Dendroica_dominica","Dendroica dominica","Yellow-throated Warbler","Parulidae","Setophaga","dominica","Setophaga dominica","Dendroica","Dendroica dominica","Dendroica_dominica","yetwar",0.631953100810559,400,-0.293547777450019,-0.0125
3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leuconotopicus_villosus_22681166.shp","Leuconotopicus_villosus","Leuconotopicus villosus","Hairy Woodpecker","Picidae","Picoides","villosus","Picoides villosus","Leuconotopicus","Leuconotopicus villosus","Leuconotopicus_villosus",NA,0.647823540429967,666,NA,NA
6740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seiurus_aurocapilla_22721779.shp","Seiurus_aurocapilla","Seiurus aurocapilla","Ovenbird","Parulidae","Seiurus","aurocapilla","Seiurus aurocapilla",NA,NA,"Seiurus_aurocapilla","ovenbi1",0.661664543696424,719,NA,NA
