"","aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
"39",7221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troglodytes_pacificus_22714246.shp","Troglodytes_pacificus","Troglodytes pacificus","Pacific Wren","Troglodytidae","Troglodytes","pacificus","Troglodytes pacificus",NA,NA,"Troglodytes_pacificus","pacwre1",0.713663359641531,61,NA,NA
"40",2940,NA,NA,NA,NA,NA,NA,NA,NA,48,-113,33,-124,9,485417228232.662,0.00046539306640625,813599975289.975,"Callipepla_californica_22679603.shp","Callipepla_californica","Callipepla californica","California Quail","Odontophoridae","Callipepla","californica","Callipepla californica",NA,NA,"Callipepla_californica",NA,0.527043823451124,36,NA,NA
"41",7430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psaltriparus_minimus_22712028.shp","Psaltriparus_minimus","Psaltriparus minimus","Bushtit","Aegithalidae","Psaltriparus","minimus","Psaltriparus minimus",NA,NA,"Psaltriparus_minimus","bushti",0.660792854873078,28,NA,NA
"42",5170,NA,NA,NA,NA,NA,NA,NA,NA,49,-62,40,-124,48,4606221533141.9,7280531108132.88,35018829879861.3,"Carpodacus_purpureus_22720553.shp","Carpodacus_purpureus","Carpodacus purpureus","Purple Finch","Fringillidae","Haemorhous","purpureus","Haemorhous purpureus","Carpodacus","Carpodacus purpureus","Carpodacus_purpureus","purfin",0.775438709619508,775,NA,NA
"43",6291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vireo_cassinii_22705231.shp","Vireo_cassinii","Vireo cassinii","Cassin's Vireo","Vireonidae","Vireo","cassinii","Vireo cassinii",NA,NA,"Vireo_cassinii",NA,0.619378172272593,34,NA,NA
"44",7380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parus_gambeli_22711724.shp","Parus_gambeli","Parus gambeli","Mountain Chickadee","Paridae","Poecile","gambeli","Poecile gambeli","Parus","Parus gambeli","Parus_gambeli","mouchi",0.888943102204687,30,NA,NA
"45",4680,NA,NA,NA,NA,NA,NA,NA,NA,54,-105,39,-129,9,662725662765.206,0.013762354850769,1895643832557.4,"Empidonax_hammondii_22699857.shp","Empidonax_hammondii","Empidonax hammondii","Hammond's Flycatcher","Tyrannidae","Empidonax","hammondii","Empidonax hammondii",NA,NA,"Empidonax_hammondii",NA,0.561796900351323,117,NA,NA
"46",6292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vireo_plumbeus_22705228.shp","Vireo_plumbeus","Vireo plumbeus","Plumbeous Vireo","Vireonidae","Vireo","plumbeus","Vireo plumbeus",NA,NA,"Vireo_plumbeus",NA,0.663256215469292,218,NA,NA
"47",6590,NA,NA,NA,NA,NA,NA,NA,NA,50,-62,36,-97,61,799780282174.977,0.00895621255040169,2013540622843.03,"Dendroica_pensylvanica_22721664.shp","Dendroica_pensylvanica","Dendroica pensylvanica","Chestnut-sided Warbler","Parulidae","Setophaga","pensylvanica","Setophaga pensylvanica","Dendroica","Dendroica pensylvanica","Dendroica_pensylvanica","chswar",0.73222716224005,716,NA,NA
"48",3880,52,-65,37,-106,100,1897815012422.96,0.0018010139465332,4865341864173.98,NA,NA,NA,NA,NA,NA,NA,NA,"Coccyzus_erythropthalmus_22684328.shp","Coccyzus_erythropthalmus","Coccyzus erythropthalmus","Black-billed Cuckoo","Cuculidae","Coccyzus","erythropthalmus","Coccyzus erythropthalmus",NA,NA,"Coccyzus_erythropthalmus",NA,0.592522479294803,371,NA,NA
"49",6860,48,-62,42,-92,24,463977795184.655,0.00099915498867631,1690300771967.16,NA,NA,NA,NA,NA,NA,NA,NA,"Wilsonia_canadensis_22721882.shp","Wilsonia_canadensis","Wilsonia canadensis","Canada Warbler","Parulidae","Cardellina","canadensis","Cardellina canadensis","Wilsonia","Wilsonia canadensis","Wilsonia_canadensis","canwar",0.562007942301009,857,NA,NA
