"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","ssi","shannonE_diet","mean_area","mean_occ","sd_area","sd_occ","Trend","ci95","area_wt","occ_wt","trend_wt","phylo_name"
"Sialia_sialis_22708550.shp","Sialia_sialis","Sialia sialis",7660,"Eastern Bluebird","Turdidae","Sialia","sialis","Sialia sialis",NA,NA,"Sialia_sialis","easblu",0.940138191610142,-1.16900202169828,0.265294995574121,0.252048277967883,0.0750590486752875,0.0961531234299237,0.00486919981903065,1.501,0.392,0.18846012192265,0.00954363164530008,0.392,"Sialia_sialis"
"Sialia_currucoides_22708556.shp","Sialia_currucoides","Sialia currucoides",7680,"Mountain Bluebird","Turdidae","Sialia","currucoides","Sialia currucoides",NA,NA,"Sialia_currucoides","moublu",0.876762211692033,-1.64606463989244,0.389972873353915,-0.336321446583902,-0.0169943502824859,0.0103346397706132,0.00406218201614417,-0.493,0.921,0.0202558939504018,0.00796187675164257,0.921,"Sialia_currucoides"
"Myadestes_townsendi_22708587.shp","Myadestes_townsendi","Myadestes townsendi",7540,"Townsend's Solitaire","Turdidae","Myadestes","townsendi","Myadestes townsendi",NA,NA,"Myadestes_townsendi","towsol",1.90520954039319,-1.30531510058719,0.530102999566398,3.76553397450267,0.00540540540540541,1.11524439470886,2.31062468577417e-05,0.277,1.171,2.18587901362936,4.52882438411736e-05,1.171,"Myadestes_townsendi"
"Catharus_ustulatus_22708664.shp","Catharus_ustulatus","Catharus ustulatus",7580,"Swainson's Thrush","Turdidae","Catharus","ustulatus","Catharus ustulatus",NA,NA,"Catharus_ustulatus","swathr",0.841920275504825,-0.816546108715379,0.292285253238629,0.110858599142587,-0.00144749596122779,0.112561960053531,0.000462124937154833,-0.761,0.662,0.220621441704921,0.000905764876823473,0.662,"Catharus_ustulatus"
"Hylocichla_mustelina_22708670.shp","Hylocichla_mustelina","Hylocichla mustelina",7550,"Wood Thrush","Turdidae","Hylocichla","mustelina","Hylocichla mustelina",NA,NA,"Hylocichla_mustelina","woothr",0.466647486660351,-1.53281536307901,0.292285253238629,-0.0775156473105691,-0.0588619528619529,0.0270461902088994,0.00575009754964044,-1.794,0.3,0.0530105328094428,0.0112701911972953,0.3,"Hylocichla_mustelina"
"Turdus_migratorius_22708958.shp","Turdus_migratorius","Turdus migratorius",7610,"American Robin","Turdidae","Turdus","migratorius","Turdus migratorius",NA,NA,"Turdus_migratorius","amerob",1.98688040847101,-0.552087304214273,0.301029995663981,0.0859643510807633,-0.00578550724637681,0.0238408219196175,0.00191677951076386,0.04,0.172,0.0467280109624502,0.00375688784109717,0.172,"Turdus_migratorius"
"Dumetella_carolinensis_22711013.shp","Dumetella_carolinensis","Dumetella carolinensis",7040,"Gray Catbird","Mimidae","Dumetella","carolinensis","Dumetella carolinensis",NA,NA,"Dumetella_carolinensis","grycat",1.12863653205645,-1.39976599724212,0.292285253238629,0.0741404660151509,-0.0345480494766889,0.0754425252414138,0.00335085394282051,-0.035,0.194,0.147867349473171,0.00656767372792821,0.194,"Dumetella_carolinensis"
"Toxostoma_rufum_22711099.shp","Toxostoma_rufum","Toxostoma rufum",7050,"Brown Thrasher","Mimidae","Toxostoma","rufum","Toxostoma rufum",NA,NA,"Toxostoma_rufum","brnthr",0.710483859888351,-1.29528511547088,0.447172622283296,-0.126761611745247,-0.0628175182481752,0.0251471689365674,0.00502087018747336,-1.039,0.216,0.0492884511156721,0.00984090556744779,0.216,"Toxostoma_rufum"
"Oreoscoptes_montanus_22711096.shp","Oreoscoptes_montanus","Oreoscoptes montanus",7020,"Sage Thrasher","Mimidae","Oreoscoptes","montanus","Oreoscoptes montanus",NA,NA,"Oreoscoptes_montanus","sagthr",0.609944377094329,-2.26538956564324,0.277528010406445,-0.204864856524105,0,3.77950056894287e-05,2.31062468577417e-05,-1.226,1.297,7.40782111512802e-05,4.52882438411736e-05,1.297,"Oreoscoptes_montanus"
"Mimus_polyglottos_22711026.shp","Mimus_polyglottos","Mimus polyglottos",7030,"Northern Mockingbird","Mimidae","Mimus","polyglottos","Mimus polyglottos",NA,NA,"Mimus_polyglottos","normoc",2.25389710161741,-1.04750571595313,0.301029995663981,0.00437896233852268,0.00348444502175749,0.0732165285806386,0.00368026717364602,-0.544,0.313,0.143504396018052,0.00721332366034619,0.313,"Mimus_polyglottos"
